"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"109","epsilon[106]",0.003,0.04,-0.076,0.003,0.083,TRUE,0.529,1,3000
"110","epsilon[107]",0.004,0.038,-0.076,0.004,0.082,TRUE,0.551,1.004,546
"111","epsilon[108]",0.001,0.038,-0.076,0,0.08,TRUE,0.5,1,3000
"112","epsilon[109]",0,0.037,-0.076,-0.001,0.078,TRUE,0.49,1.001,3000
"113","epsilon[110]",-0.004,0.037,-0.078,-0.004,0.072,TRUE,0.545,1,3000
"114","epsilon[111]",-0.01,0.037,-0.081,-0.01,0.065,TRUE,0.633,1.001,3000
"115","epsilon[112]",-0.015,0.036,-0.085,-0.014,0.059,TRUE,0.669,1,3000
"116","epsilon[113]",-0.017,0.036,-0.085,-0.018,0.055,TRUE,0.699,1.001,1928
"117","epsilon[114]",-0.018,0.036,-0.086,-0.018,0.057,TRUE,0.715,1,3000
"118","epsilon[115]",-0.018,0.035,-0.084,-0.018,0.057,TRUE,0.711,1,3000
"119","epsilon[116]",-0.02,0.035,-0.087,-0.021,0.052,TRUE,0.716,1,2482
"120","epsilon[117]",-0.025,0.035,-0.09,-0.026,0.048,TRUE,0.768,1,3000
"121","epsilon[118]",-0.028,0.035,-0.09,-0.028,0.045,TRUE,0.793,1.001,3000
"122","epsilon[119]",-0.029,0.034,-0.092,-0.029,0.041,TRUE,0.805,1,3000
"123","epsilon[120]",-0.025,0.035,-0.091,-0.024,0.046,TRUE,0.761,1,3000
"124","epsilon[121]",-0.021,0.035,-0.09,-0.02,0.049,TRUE,0.732,1,3000
"125","epsilon[122]",-0.018,0.035,-0.088,-0.017,0.053,TRUE,0.698,1.001,3000
"126","epsilon[123]",-0.015,0.036,-0.085,-0.015,0.059,TRUE,0.679,1.001,1713
"127","epsilon[124]",-0.01,0.036,-0.083,-0.01,0.063,TRUE,0.613,1,3000
"128","epsilon[125]",-0.005,0.036,-0.078,-0.004,0.067,TRUE,0.553,1,3000
"129","epsilon[126]",0.005,0.037,-0.07,0.005,0.078,TRUE,0.566,1,3000
"130","epsilon[127]",0.005,0.035,-0.067,0.006,0.074,TRUE,0.571,1.001,2483
"131","epsilon[128]",0.008,0.035,-0.065,0.009,0.078,TRUE,0.603,1.001,1334
"132","epsilon[129]",0.011,0.035,-0.065,0.012,0.078,TRUE,0.633,1,3000
"133","epsilon[130]",0.015,0.035,-0.06,0.014,0.084,TRUE,0.677,1,3000
"134","epsilon[131]",0.014,0.035,-0.061,0.014,0.08,TRUE,0.675,1.001,1888
"135","epsilon[132]",0.013,0.035,-0.06,0.013,0.083,TRUE,0.653,1.001,3000
"136","epsilon[133]",0.006,0.036,-0.069,0.005,0.079,TRUE,0.56,1,2153
"137","epsilon[134]",0,0.039,-0.079,0,0.082,TRUE,0.506,1,3000
"138","epsilon[135]",-0.002,0.039,-0.08,-0.002,0.077,TRUE,0.528,1.002,2434
"139","epsilon[136]",-0.002,0.04,-0.082,-0.001,0.079,TRUE,0.513,1,3000
