year,mgmt_area,fishery,fishery_type,gear,whole_pounds
1980,SSEI,M91B,Misc Incidental,Pot,587.5910401
1980,CSEO,M99B,Misc Incidental,Mechanical jigs,28169.18008
1980,CSEO,M99B,Misc Incidental,Other/unspecified/missing,844.2226522
1980,CSEO,0,Mixed,Longline,1753.020749
1980,CSEO,C06B,Sablefish Incidental,Longline,7.296072469
1980,NSEI,C06B,Sablefish Incidental,Longline,4.861011977
1980,NSEO,C06B,Sablefish Incidental,Longline,1.386359727
1980,CSEO,C61B,Sablefish Incidental,Longline,509.1489436
1980,EYKT,C61B,Sablefish Incidental,Longline,130.0417031
1980,NSEI,C61B,Sablefish Incidental,Longline,45.36748346
1980,NSEO,C61B,Sablefish Incidental,Longline,5.347387517
1980,SSEI,C61B,Sablefish Incidental,Longline,1.781552811
1980,SSEO,C61B,Sablefish Incidental,Longline,201.6460264
1980,CSEO,S01A,Salmon Incidental,Purse seine,3.309893534
1980,CSEO,S05B,Salmon Incidental,Hand troll,4605.385864
1980,NSEI,S05B,Salmon Incidental,Hand troll,526.6437453
1980,SSEI,S05B,Salmon Incidental,Hand troll,624.2224156
1980,CSEO,S15B,Salmon Incidental,Power gurdy troll,35282.8031
1980,EYKT,S15B,Salmon Incidental,Power gurdy troll,1460.127091
1980,NSEI,S15B,Salmon Incidental,Power gurdy troll,227.6115553
1980,NSEO,S15B,Salmon Incidental,Power gurdy troll,87.0067529
1980,SSEI,S15B,Salmon Incidental,Power gurdy troll,295.5095478
1980,SSEO,S15B,Salmon Incidental,Power gurdy troll,811.7635741
1980,NSEI,M07B,Trawl Incidental,Non-pelagic/bottom trawl,2.1
1981,CSEO,B06B,Halibut Incidental,Longline,6944.14538
1981,NSEI,B06B,Halibut Incidental,Longline,177.7010981
1981,NSEO,B06B,Halibut Incidental,Longline,167.3993702
1981,SSEI,B06B,Halibut Incidental,Longline,1079.504972
1981,SSEO,B06B,Halibut Incidental,Longline,172.9905572
1981,SSEI,B26B,Halibut Incidental,Mechanical jigs,351.0353247
1981,CSEO,B61B,Halibut Incidental,Longline,9289.288167
1981,EYKT,B61B,Halibut Incidental,Longline,4036.931352
1981,NSEI,B61B,Halibut Incidental,Longline,1162.941486
1981,SSEI,B61B,Halibut Incidental,Longline,1962.801175
1981,SSEO,B61B,Halibut Incidental,Longline,1392.43219
1981,CSEO,M05B,Misc Incidental,Hand troll,123.6487723
1981,NSEI,M05B,Misc Incidental,Hand troll,90.27076119
1981,SSEI,M05B,Misc Incidental,Hand troll,1001.989028
1981,CSEO,M06B,Misc Incidental,Longline,51572.90805
1981,NSEI,M06B,Misc Incidental,Longline,155.8405678
1981,SSEI,M06B,Misc Incidental,Longline,2020.585609
