Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect_Number,Dive_Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2018NSEO_Dive_16_08-22-19.000.avi,56066,8:53:31,32011,,,585,830,QC,EricaEbert,70,N/A,2018,16,54,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_17_09-30-12.000.avi,84,9:30:16,34216,,,607,847,QC,EricaEbert,85,N/A,2018,17,52,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_17_09-30-12.000.avi,36103,9:50:16,35416,,,576,813,QC,EricaEbert,85,N/A,2018,17,52,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2018NSEO_Dive_17_09-30-12.000.avi,36400,9:50:26,35426,,,583,822,QC,EricaEbert,85,N/A,2018,17,52,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_17_09-30-12.000.avi,37925,9:51:17,35477,,,578,827,QC,EricaEbert,85,N/A,2018,17,52,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2018NSEO_Dive_17_09-30-12.000.avi,38218,9:51:27,35487,,,570,813,QC,EricaEbert,85,N/A,2018,17,52,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_17_09-30-12.000.avi,56231,10:01:27,36087,,,582,829,QC,EricaEbert,85,N/A,2018,17,52,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_18_10-37-47.000.avi,421,10:38:25,38305,,,598,840,QC,EricaEbert,100,N/A,2018,18,53,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_18_10-37-47.000.avi,7304,10:42:14,38534,,,595,842,QC,EricaEbert,100,N/A,2018,18,53,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_18_10-37-47.000.avi,7719,10:42:28,38548,,,602,847,QC,EricaEbert,100,N/A,2018,18,53,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_18_10-37-47.000.avi,19207,10:48:51,38931,,,593,832,QC,EricaEbert,100,N/A,2018,18,53,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_18_10-37-47.000.avi,20032,10:49:19,38959,,,613,861,QC,EricaEbert,100,N/A,2018,18,53,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_18_10-37-47.000.avi,52187,11:07:11,40031,,,592,835,QC,EricaEbert,100,N/A,2018,18,53,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_18_10-37-47.000.avi,52540,11:07:22,40042,,,605,842,QC,EricaEbert,100,N/A,2018,18,53,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_18_10-37-47.000.avi,69400,11:16:44,40604,,,608,850,QC,EricaEbert,100,N/A,2018,18,53,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_19_11-56-05.000.avi,123,11:56:23,42983,,,643,834,QC,EricaEbert,90,N/A,2018,19,51,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_19_11-56-05.000.avi,66886,12:33:28,45208,,,659,847,QC,EricaEbert,90,N/A,2018,19,51,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_20_13-26-13.000.avi,345,13:26:25,48385,,,650,824,QC,EricaEbert,110,N/A,2018,20,49,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_20_13-26-13.000.avi,62418,14:00:55,50455,,,615,790,QC,EricaEbert,110,N/A,2018,20,49,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2018NSEO_Dive_20_13-26-13.000.avi,62704,14:01:04,50464,,,603,778,QC,EricaEbert,110,N/A,2018,20,49,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_20_13-26-13.000.avi,65602,14:02:41,50561,,,602,766,QC,EricaEbert,110,N/A,2018,20,49,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_21_14-41-44.000.avi,243,14:41:55,52915,,,578,783,QC,EricaEbert,100,N/A,2018,21,48,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_21_14-41-44.000.avi,63570,15:17:06,55026,,,639,829,QC,EricaEbert,100,N/A,2018,21,48,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_22_15-57-43.000.avi,300,15:57:58,57478,,,666,829,QC,EricaEbert,100,N/A,2018,22,47,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_22_15-57-43.000.avi,61781,16:32:07,59527,,,627,792,QC,EricaEbert,100,N/A,2018,22,47,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_23_07-57-09.000.avi,109,7:57:15,28635,,,676,830,QC,EricaEbert,60,N/A,2018,23,46,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
