"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"544","D[133]",2.146,4.632,1,1,16.284,FALSE,1,1.001,3000
"545","D[134]",35.408,25.245,1,31.394,90.773,FALSE,1,1,3000
"546","D[135]",44.996,86.918,1,1,303.418,FALSE,1,1.006,3000
"547","C[1]",11.605,15.276,1.053,7.161,48.968,FALSE,1,1.013,3000
"548","C[2]",10.451,12.54,1,6.619,41.342,FALSE,1,1.006,3000
"549","C[3]",11.309,14.579,1,7.044,49.386,FALSE,1,1.001,3000
"550","C[4]",16.026,21.33,2.021,10.931,62.199,FALSE,1,1.037,3000
"551","C[5]",19.109,18.077,3.008,13.977,67.652,FALSE,1,1.008,3000
"552","C[6]",21.219,18.34,3.793,16.25,69.81,FALSE,1,1.011,1352
"553","C[7]",24.294,20.972,4.75,18.569,80.23,FALSE,1,1.002,3000
"554","C[8]",26.991,20.192,5.712,21.164,83.025,FALSE,1,1.001,2628
"555","C[9]",32.622,23.066,7.857,26.558,93.478,FALSE,1,1,3000
"556","C[10]",39.342,25.072,10.575,33.188,106.698,FALSE,1,1.001,3000
"557","C[11]",45.473,26.025,13.24,39.946,111.113,FALSE,1,1.002,1332
"558","C[12]",50.977,28.475,15.913,44.546,121.919,FALSE,1,1,3000
"559","C[13]",73.332,33.605,28.737,67.522,151.618,FALSE,1,1.001,2769
"560","C[14]",95.734,38.959,40.933,88.779,193.5,FALSE,1,1,3000
"561","C[15]",120.902,45.953,55.662,112.725,231.377,FALSE,1,1,3000
"562","C[16]",134.403,49.739,61.555,127.047,256.528,FALSE,1,1,3000
"563","C[17]",148.43,53.389,72.041,138.612,274.768,FALSE,1,1.001,3000
"564","C[18]",117.374,45.072,52.881,108.476,227.307,FALSE,1,1.001,3000
"565","C[19]",189.061,62.745,96.349,178.718,336.149,FALSE,1,1,3000
"566","C[20]",262.269,79.87,138.362,251.224,449.625,FALSE,1,1.001,3000
"567","C[21]",263.343,78.228,142.928,251.56,442.407,FALSE,1,1.003,1403
"568","C[22]",269.512,81.601,147.548,257.073,462.417,FALSE,1,1.001,1844
"569","C[23]",270.819,80.785,147.395,260.362,464.428,FALSE,1,1,3000
"570","C[24]",297.714,88.797,160.319,284.185,499.428,FALSE,1,1,3000
"571","C[25]",313.733,89.574,175.514,302.751,519.583,FALSE,1,1,3000
"572","C[26]",323.561,94.877,180.046,310.8,545.3,FALSE,1,1,3000
"573","C[27]",299.959,94.319,158.855,283.588,521.978,FALSE,1,1,3000
"574","C[28]",302.005,92.273,160.006,290.298,514.674,FALSE,1,1.001,3000
"575","C[29]",215.789,71.722,109.509,205.224,380.217,FALSE,1,1.001,3000
"576","C[30]",214.229,72.748,108.382,202.56,387.328,FALSE,1,1.002,3000
"577","C[31]",172.039,59.197,85.442,162.702,308.842,FALSE,1,1,3000
"578","C[32]",179.843,61.844,84.31,171.604,321.032,FALSE,1,1,3000
"579","C[33]",211.368,68.927,105.841,201.253,375.462,FALSE,1,1.001,3000
"580","C[34]",203.626,68.776,103.455,191.961,368.665,FALSE,1,1,3000
"581","C[35]",176.5,61.501,86.79,166.177,320.672,FALSE,1,1.002,1857
"582","C[36]",214.459,74.525,105.092,203.511,391.752,FALSE,1,1,3000
"583","C[37]",228.391,77.211,113.383,215.775,407.872,FALSE,1,1.002,3000
"584","C[38]",193.319,70.342,92.961,182.266,359.868,FALSE,1,1.002,1371
"585","C[39]",177.023,65.744,83.528,165.586,335.493,FALSE,1,1,3000
"586","C[40]",185.425,70.611,87.373,171.567,359.538,FALSE,1,1.001,1999
"587","C[41]",188.229,68.295,85.382,177.871,353.821,FALSE,1,1.001,3000
"588","C[42]",361.965,98.446,208.793,350.492,591.965,FALSE,1,1,3000
"589","C[43]",306.562,87.173,172.583,294.887,511.799,FALSE,1,1.001,1770
"590","C[44]",279.428,78.213,157.784,269.007,450.508,FALSE,1,1.001,3000
"591","C[45]",285.464,82.531,158.221,274.37,472.8,FALSE,1,1,3000
"592","C[46]",306.397,89.625,166.342,294.593,507.476,FALSE,1,1,3000
"593","C[47]",290.219,85.392,159.109,281.156,493.536,FALSE,1,1,3000
"594","C[48]",315.044,91.479,176.639,301.617,519.171,FALSE,1,1.002,1014
"595","C[49]",335.46,98.402,179.681,322.376,565.488,FALSE,1,1,3000
"596","C[50]",274.203,83.673,146.296,263.439,461.034,FALSE,1,1,3000
"597","C[51]",261.181,84.287,136.526,248.384,467.809,FALSE,1,1,3000
"598","C[52]",259.089,82.466,136.752,246.116,454.459,FALSE,1,1.003,3000
"599","C[53]",249.466,77.302,129.539,238.899,428.359,FALSE,1,1,3000
"600","C[54]",223.337,71.96,114.959,212.114,393.656,FALSE,1,1,3000
"601","C[55]",267.927,80.679,146.174,256.321,461.144,FALSE,1,1.002,961
"602","C[56]",224.42,68.845,119.93,213.606,381.576,FALSE,1,1.001,3000
"603","C[57]",295.607,83.274,165.687,284.841,484.223,FALSE,1,1.001,3000
"604","C[58]",208.099,64.292,109.85,199.168,360.254,FALSE,1,1,3000
"605","C[59]",299.37,85.14,164.414,288.31,490.014,FALSE,1,1,3000
"606","C[60]",309.237,90.628,169.322,297.739,515.443,FALSE,1,1,3000
"607","C[61]",270.053,77.668,152.004,258.1,446.59,FALSE,1,1.003,1157
"608","C[62]",305.298,88.343,168.797,294.905,515.358,FALSE,1,1.002,928
"609","C[63]",266.949,80.129,144.518,256.509,447.597,FALSE,1,1.002,814
"610","C[64]",292.407,85.002,159.48,280.689,482.206,FALSE,1,1,3000
"611","C[65]",322.002,96.375,172.658,306.586,545.949,FALSE,1,1.001,3000
"612","C[66]",267.08,85.704,139.977,254.96,465.227,FALSE,1,1.001,3000
"613","C[67]",298.33,95.985,158.147,282.262,531.351,FALSE,1,1.001,2809
"614","C[68]",234.008,76.555,119.608,222.788,415.692,FALSE,1,1.003,764
"615","C[69]",298.781,82.351,170.942,287.893,484.221,FALSE,1,1,2147
"616","C[70]",301.517,83.542,169.282,290.958,493.746,FALSE,1,1.001,3000
"617","C[71]",323.663,92.538,180.759,313.357,532.542,FALSE,1,1,3000
"618","C[72]",404.228,108.244,232.505,391.312,658.303,FALSE,1,1.001,2629
"619","C[73]",359.673,95.951,205.68,349.07,573.315,FALSE,1,1.003,966
"620","C[74]",380.6,116.374,215.018,360.513,645.195,FALSE,1,1.001,1765
"621","C[75]",510.702,181.773,279.605,476.347,1006.471,FALSE,1,1,3000
"622","C[76]",520.661,239.632,241.24,454.522,1189.979,FALSE,1,1,3000
"623","C[77]",582.525,295.185,217.669,500.878,1332.288,FALSE,1,1,3000
"624","C[78]",767.634,314.196,334.756,692.387,1481.245,FALSE,1,1.001,1842
"625","C[79]",644.312,275.346,295.826,568.024,1359.178,FALSE,1,1.001,2876
"626","C[80]",452.227,241.533,181.556,378.25,1145.265,FALSE,1,1.001,3000
"627","C[81]",376.231,225.779,138.98,304.839,1062.177,FALSE,1,1.001,3000
"628","C[82]",425.445,208.26,192.715,372.495,1062.019,FALSE,1,1.004,1777
"629","C[83]",385.4,190.28,171.617,334.395,894.445,FALSE,1,1,3000
"630","C[84]",363.479,208.893,143.395,301.92,982.528,FALSE,1,1.001,3000
"631","C[85]",353.758,209.803,140.052,288.386,983.255,FALSE,1,1.002,3000
"632","C[86]",309.349,190.61,114.723,251.641,896.529,FALSE,1,1,3000
"633","C[87]",288.224,174.173,114.727,238.452,789.018,FALSE,1,1.003,1250
"634","C[88]",332.429,188.652,138.792,280.194,891.835,FALSE,1,1,3000
"635","C[89]",280.829,173.029,106.799,231.788,775.332,FALSE,1,1.001,1810
"636","C[90]",247.813,179.724,77.356,195.344,784.072,FALSE,1,1,3000
"637","C[91]",174.685,65.998,85.751,163.885,336.729,FALSE,1,1.003,3000
"638","C[92]",162.456,74.783,74.699,148.256,330.552,FALSE,1,1,3000
"639","C[93]",211.931,88.246,118.529,192.612,436.187,FALSE,1,1.002,3000
"640","C[94]",242.828,90.671,146.756,221.379,471.081,FALSE,1,1.002,1740
"641","C[95]",169.925,34.61,120.223,163.677,253.681,FALSE,1,1.001,2472
"642","C[96]",251.511,44.071,182.462,245.286,353.882,FALSE,1,1.001,1466
"643","C[97]",476.275,58.267,378.515,470.55,604.813,FALSE,1,1,3000
"644","C[98]",586.006,68.497,471.135,580.146,735.66,FALSE,1,1.001,2655
"645","C[99]",588.991,70.891,466.16,581.91,741.968,FALSE,1,1,3000
"646","C[100]",874.763,89.622,713.399,869.398,1071.952,FALSE,1,1,3000
"647","C[101]",797.439,87.26,648.947,791.922,986.221,FALSE,1,1,3000
"648","C[102]",534.319,73.664,405.875,531.596,694.247,FALSE,1,1,3000
"649","C[103]",463.43,74.08,339.31,455.119,634.526,FALSE,1,1,3000
"650","C[104]",581.086,72.432,454.912,577.248,736.833,FALSE,1,1.001,1765
"651","C[105]",560.197,76.483,429.288,551.799,733.156,FALSE,1,1.002,1074
"652","C[106]",618.678,84.116,474.385,613.101,798.743,FALSE,1,1.001,1660
"653","C[107]",658.235,86.607,512.264,650.258,839.68,FALSE,1,1,2762
"654","C[108]",375.191,59.45,279.062,368.676,509.662,FALSE,1,1,3000
"655","C[109]",517.077,55.667,415.396,514.648,633.863,FALSE,1,1.001,2887
"656","C[110]",470.854,53.669,373.578,469.208,582.138,FALSE,1,1.001,3000
"657","C[111]",529.225,65.964,414.161,524.967,664.541,FALSE,1,1.001,1436
