year.landed,mgmt.area,permit.fishery,gear.description,round.lbs
2005,CSEO,B61Z,Longline,16660
2005,EYKT,,Longline,131087
2005,EYKT,,Other/unspecified/missing,114836
2005,EYKT,B06B,Longline,2138194
2005,EYKT,B61B,Longline,215680
2005,NSEI,,Longline,24495
2005,NSEI,,Other/unspecified/missing,19539
2005,NSEI,B06B,Longline,5001520
2005,NSEI,B61B,Longline,256189
2005,NSEO,,Longline,47898
2005,NSEO,B06B,Longline,1068718
2005,NSEO,B61B,Longline,58267
2005,SSEI,,Longline,3735
2005,SSEI,,Other/unspecified/missing,406
2005,SSEI,B06B,Longline,843448
2005,SSEI,B61B,Longline,104869
2005,SSEO,,Longline,24414
2005,SSEO,,Other/unspecified/missing,14240
2005,SSEO,B06B,Longline,1342166
2005,SSEO,B61B,Longline,75993
2006,CSEO,,Longline,41357
2006,CSEO,,Other/unspecified/missing,7251
2006,CSEO,B06B,Longline,1758966
2006,CSEO,B61B,Longline,211836
2006,CSEO,C06B,Longline,1308
2006,CSEO,C61B,Longline,0
2006,EYKT,,Longline,55416
2006,EYKT,,Other/unspecified/missing,169774
2006,EYKT,B06B,Longline,1793907
2006,EYKT,B61B,Longline,135777
2006,EYKT,C61B,Longline,0
2006,NSEI,,Longline,27465
2006,NSEI,,Other/unspecified/missing,1716
2006,NSEI,B06B,Longline,4560441
2006,NSEI,B61B,Longline,116029
2006,NSEI,C06B,Longline,1308
2006,NSEI,C61A,Longline,0
2006,NSEO,,Longline,23764
2006,NSEO,,Other/unspecified/missing,680
2006,NSEO,B06B,Longline,984875
2006,NSEO,B61B,Longline,36489
2006,NSEO,C61B,Longline,395
2006,SSEI,9998,Other/unspecified/missing,34871
2006,SSEI,B06B,Longline,1301031
2006,SSEI,B61B,Longline,79622
2006,SSEO,,Longline,20422
2006,SSEO,B06B,Longline,1322937
2006,SSEO,B61B,Longline,108121
2006,SSEO,C61B,Longline,350
2007,CSEO,B05B,Hand troll,769.6266
2007,CSEO,B06B,Longline,1792394.731
2007,CSEO,B25B,Dinglebar troll,358.0267
2007,CSEO,B61B,Longline,213534.5688
2007,CSEO,C61B,Longline,1100
2007,CSEO,I25B,Dinglebar troll,210.6667
2007,CSEO,S05B,Hand troll,99.3067
2007,CSEO,S15B,Other/unspecified/missing,38.808
2007,CSEO,S15B,Power gurdy troll,7234.8193
2007,EYKT,B06B,Longline,2781137.399
2007,EYKT,B61B,Longline,208175.3467
2007,EYKT,C61B,Longline,
2007,EYKT,S15B,Power gurdy troll,19780.1337
2007,NSEI,B05B,Hand troll,1517.04
2007,NSEI,B06B,Longline,4881794.423
2007,NSEI,B61B,Longline,99119.8432
2007,NSEI,C61A,Longline,
2007,NSEI,S05B,Hand troll,487.4667
2007,NSEI,S15B,Power gurdy troll,3208.4832
2007,NSEO,B06B,Longline,981149.7969
2007,NSEO,B61B,Longline,40220.9842
2007,NSEO,C61B,Longline,
2007,NSEO,S05B,Hand troll,179.0133
2007,NSEO,S15B,Power gurdy troll,2965.48
2007,SSEI,9999,Longline,52445.3336
2007,SSEI,B05B,Hand troll,3645.4667
2007,SSEI,B06B,Longline,1386067.921
2007,SSEI,B61B,Longline,18588.2881
2007,SSEI,S05B,Hand troll,462.6666
2007,SSEI,S15B,Power gurdy troll,4200.6438
2007,SSEO,B05B,Hand troll,338.5333
2007,SSEO,B06B,Longline,1697249.327
2007,SSEO,B61B,Longline,82985.4176
2007,SSEO,S15B,Power gurdy troll,3304.954
2008,CSEO,B05B,Hand troll,467.7866
2008,CSEO,B06B,Longline,1345145.089
2008,CSEO,B61B,Longline,153767.7123
2008,CSEO,C61B,Longline,90
2008,CSEO,I25B,Dinglebar troll,377.6268
2008,CSEO,S05B,Hand troll,13.0666
2008,CSEO,S15B,Power gurdy troll,7038.6423
2008,EYKT,B06B,Longline,2676538.233
2008,EYKT,B61B,Longline,211914.6806
2008,EYKT,C61B,Longline,
2008,EYKT,S15B,Power gurdy troll,6636.4187
2008,NSEI,B05B,Hand troll,1237.4133
2008,NSEI,B06B,Longline,3750327.881
2008,NSEI,B61B,Longline,60491.5282
2008,NSEI,S05B,Hand troll,103.6799
2008,NSEI,S15B,Power gurdy troll,958.0375
2008,NSEO,B06B,Longline,767894.058
2008,NSEO,B61B,Longline,31459.9626
2008,NSEO,C61B,Longline,
2008,NSEO,S15B,Power gurdy troll,1600.2744
2008,SSEI,9999,Longline,54680
2008,SSEI,B06B,Longline,1158542.717
2008,SSEI,B61B,Longline,12272.0853
2008,SSEI,S05B,Hand troll,137.3013
2008,SSEI,S15B,Power gurdy troll,3713.2321
2008,SSEO,B06B,Longline,957304.2101
2008,SSEO,B61B,Longline,55600.976
2008,SSEO,C61B,Longline,120
2008,SSEO,S15B,Power gurdy troll,572.4028
2009,CSEO,B06B,Longline,1042538.213
2009,CSEO,B25B,Dinglebar troll,35.28
2009,CSEO,B61B,Longline,68789.7764
2009,CSEO,C61B,Longline,275
2009,CSEO,I25B,Dinglebar troll,523.9734
2009,CSEO,M6AB,Longline,
2009,CSEO,S15B,Power gurdy troll,4339.4406
2009,EYKT,B06B,Longline,2390112.697
2009,EYKT,B61B,Longline,114630.9895
2009,EYKT,C61B,Longline,300
2009,EYKT,S15B,Power gurdy troll,4301.5466
2009,NSEI,B05B,Hand troll,840.832
2009,NSEI,B06B,Longline,2994515.962
2009,NSEI,B61B,Longline,50789.0215
2009,NSEI,C61A,Longline,20
2009,NSEI,S15B,Power gurdy troll,1176.3065
2009,NSEO,B06B,Longline,624529.9076
2009,NSEO,B61B,Longline,22551.6947
2009,NSEO,C61B,Longline,88
2009,NSEO,I25B,Dinglebar troll,33.9734
2009,NSEO,S15B,Power gurdy troll,1233.088
2009,SSEI,9999,Longline,39195.9998
2009,SSEI,B06B,Longline,962502.9573
2009,SSEI,B26B,Mechanical jigs,388
2009,SSEI,B61B,Longline,12871.6001
2009,SSEI,S05B,Hand troll,150.5014
2009,SSEI,S15B,Power gurdy troll,3129.8026
2009,SSEO,B06B,Longline,732186.37
2009,SSEO,B61B,Longline,84349.7039
2009,SSEO,C61B,Longline,325
2009,SSEO,M6AB,Longline,
2009,SSEO,S15B,Power gurdy troll,520.4241
2010,CSEO,B05B,Hand troll,212.9866
2010,CSEO,B06B,Longline,948617.1011
2010,CSEO,B61B,Longline,53638.5975
2010,CSEO,C61B,Longline,8
2010,CSEO,S15B,Power gurdy troll,3637.2579
2010,EYKT,B06B,Longline,2289246.833
2010,EYKT,B61B,Longline,255550.365
2010,EYKT,C61B,Longline,839.49
2010,EYKT,S15B,Power gurdy troll,2972.5358
2010,NSEI,B05B,Hand troll,783.8933
2010,NSEI,B06B,Longline,2793358.791
2010,NSEI,B61B,Longline,72462.7734
2010,NSEI,S05B,Hand troll,256.1066
2010,NSEI,S15B,Power gurdy troll,4133.2663
2010,NSEO,B06B,Longline,553026.2086
2010,NSEO,B61B,Longline,30828.3695
2010,NSEO,C61B,Longline,10.51
2010,NSEO,S15B,Power gurdy troll,1548.4
2010,SSEI,9999,Longline,59885.3331
2010,SSEI,B05B,Hand troll,313.992
2010,SSEI,B06B,Longline,889379.2884
2010,SSEI,B26B,Mechanical jigs,97.3333
2010,SSEI,B61B,Longline,13636.5334
2010,SSEI,S05B,Hand troll,390.0053
2010,SSEI,S15B,Power gurdy troll,3463.4452
2010,SSEO,B06B,Longline,631440.4712
2010,SSEO,B61B,Longline,39881.7842
2010,SSEO,C61B,Longline,75
2010,SSEO,S15B,Power gurdy troll,661.8561
2011,CSEO,B05B,Hand troll,83.6266
2011,CSEO,B06B,Longline,481437.8041
2011,CSEO,B61B,Longline,39167.456
2011,CSEO,C61B,Longline,996
2011,CSEO,I25B,Dinglebar troll,87.5466
2011,CSEO,S15B,Power gurdy troll,3909.9743
2011,EYKT,B06B,Longline,1719140.901
2011,EYKT,B61B,Longline,269694.7552
2011,EYKT,C61B,Longline,7325
2011,EYKT,S15B,Power gurdy troll,6138.1068
2011,NSEI,B05B,Hand troll,991.8668
2011,NSEI,B06B,Longline,1469781.945
2011,NSEI,B61B,Longline,32414.0879
2011,NSEI,C61A,Longline,
2011,NSEI,M06G,Longline,1708.728
2011,NSEI,S05B,Hand troll,51.0906
2011,NSEI,S15B,Power gurdy troll,4789.3332
2011,NSEO,B06B,Longline,308399.2263
2011,NSEO,B61B,Longline,13403.0054
2011,NSEO,I25B,Dinglebar troll,86.24
2011,NSEO,S05B,Hand troll,79.7068
2011,NSEO,S15B,Power gurdy troll,316.2134
2011,SSEI,9999,Longline,82596.0002
2011,SSEI,B05B,Hand troll,34.4
2011,SSEI,B06B,Longline,533602.3993
2011,SSEI,B61B,Longline,7289.3333
2011,SSEI,S05B,Hand troll,83.976
2011,SSEI,S15B,Power gurdy troll,3281.7442
2011,SSEO,B06B,Longline,277191.4335
2011,SSEO,B61B,Longline,7484.6612
2011,SSEO,C61B,Longline,45
2011,SSEO,S15B,Power gurdy troll,2142.4106
2012,CSEO,B05B,Hand troll,104.5334
2012,CSEO,B06B,Longline,528348.7137
2012,CSEO,B61B,Longline,46827.7494
2012,CSEO,C61B,Longline,510
2012,CSEO,S15B,Power gurdy troll,4719.549
2012,CSEO,Y61A,Longline,70
2012,EYKT,B06B,Longline,1543168.968
2012,EYKT,B61B,Longline,205528.8463
2012,EYKT,C61B,Longline,6116
2012,EYKT,S15B,Power gurdy troll,1924.5892
2012,NSEI,B05B,Hand troll,1520.8693
2012,NSEI,B06B,Longline,1627761.312
2012,NSEI,B61B,Longline,26273.7067
2012,NSEI,S05B,Hand troll,148.96
2012,NSEI,S15B,Power gurdy troll,2013.6666
2012,NSEO,B06B,Longline,366182.1576
2012,NSEO,B61B,Longline,30335.7486
2012,NSEO,I25B,Dinglebar troll,493.92
2012,NSEO,S15B,Power gurdy troll,1050.5598
2012,NSEO,Y61A,Longline,30
2012,SSEI,9999,Longline,65316
2012,SSEI,B05B,Hand troll,194.6667
2012,SSEI,B06B,Longline,593766.186
2012,SSEI,B61B,Longline,8221.3334
2012,SSEI,S05B,Hand troll,550.584
2012,SSEI,S15B,Power gurdy troll,1803.0855
2012,SSEO,B06B,Longline,308794.0035
2012,SSEO,B61B,Longline,2513.6481
2012,SSEO,C61B,Longline,130
2012,SSEO,S05B,Hand troll,20
2012,SSEO,S15B,Power gurdy troll,1461.9975
2013,CSEO,B06B,Longline,553984.4281
2013,CSEO,B61B,Longline,65327.3817
2013,CSEO,C61B,Longline,40
2013,CSEO,I25B,Dinglebar troll,64.0266
2013,CSEO,M6AB,Longline,
2013,CSEO,S15B,Power gurdy troll,3080.4268
2013,EYKT,B06B,Longline,1419300.184
2013,EYKT,B61B,Longline,235999.7678
2013,EYKT,C61B,Longline,97.6
2013,EYKT,I25B,Dinglebar troll,121.52
2013,EYKT,S15B,Power gurdy troll,910.4854
2013,NSEI,B05B,Hand troll,2138.2401
2013,NSEI,B06B,Longline,1908911.506
2013,NSEI,B26B,Mechanical jigs,313.3333
2013,NSEI,B61B,Longline,20663.2
2013,NSEI,M06B,Longline,485.688
2013,NSEI,S05B,Hand troll,66.64
2013,NSEI,S15B,Power gurdy troll,2164.6692
2013,NSEO,B06B,Longline,371726.1437
2013,NSEO,B61B,Longline,16789.6476
2013,NSEO,I25B,Dinglebar troll,211.68
2013,NSEO,S15B,Power gurdy troll,349.5334
2013,SSEI,9999,Longline,73320.0001
2013,SSEI,B05B,Hand troll,617.3333
2013,SSEI,B06B,Longline,616478.3357
2013,SSEI,B61B,Longline,4077.92
2013,SSEI,S15B,Power gurdy troll,3274.4267
2013,SSEO,B06B,Longline,375688.4704
2013,SSEO,B61B,Longline,3248.3787
2013,SSEO,C61B,Longline,29
2013,SSEO,M6AB,Longline,
2013,SSEO,S15B,Power gurdy troll,677.8293
2014,CSEO,B06B,Longline,699605.004
2014,CSEO,B61B,Longline,44123.7329
2014,CSEO,C61B,Longline,1466
2014,CSEO,S05B,Hand troll,219.52
2014,CSEO,S15B,Power gurdy troll,2147.9789
2014,EYKT,B06B,Longline,1047330.551
2014,EYKT,B61B,Longline,138676.5195
2014,EYKT,C61B,Longline,630.5
2014,EYKT,I25B,Dinglebar troll,24.696
2014,EYKT,S15B,Power gurdy troll,1837.1734
2014,NSEI,B05B,Hand troll,1379.6533
2014,NSEI,B06B,Longline,2020835.251
2014,NSEI,B61B,Longline,46545.9092
2014,NSEI,C61A,Longline,
2014,NSEI,S15B,Power gurdy troll,2785.4352
2014,NSEO,B06B,Longline,431489.5116
2014,NSEO,B61B,Longline,23566.6156
2014,NSEO,I25B,Dinglebar troll,412.9066
2014,NSEO,S15B,Power gurdy troll,1304.0536
2014,SSEI,9999,Longline,106236.0001
2014,SSEI,9999,Power gurdy troll,45.3333
2014,SSEI,B05B,Hand troll,1113.3334
2014,SSEI,B06B,Longline,771691.2694
2014,SSEI,S05B,Hand troll,42.336
2014,SSEI,S15B,Power gurdy troll,3547.4955
2014,SSEO,B06B,Longline,358343.8253
2014,SSEO,B61B,Longline,2577.2347
2014,SSEO,C61B,Longline,20
2014,SSEO,S15B,Power gurdy troll,755.776
2015,CSEO,B06B,Longline,788621.1751
2015,CSEO,B25B,Dinglebar troll,65.3334
2015,CSEO,B61B,Longline,54619.4508
2015,CSEO,C61B,Longline,447.5
2015,CSEO,I25B,Dinglebar troll,104.5334
2015,CSEO,M6AB,Longline,
2015,CSEO,S15B,Power gurdy troll,2037.5504
2015,EYKT,B06B,Longline,1125348.065
2015,EYKT,B61B,Longline,100168.9363
2015,EYKT,C06B,Longline,100
2015,EYKT,C61B,Longline,497
2015,EYKT,M6AB,Longline,
2015,EYKT,S15B,Power gurdy troll,297.92
2015,NSEI,B05B,Hand troll,262.5867
2015,NSEI,B06B,Longline,2251872.981
2015,NSEI,B61B,Longline,51604.4292
2015,NSEI,S05B,Hand troll,77.0934
2015,NSEI,S15B,Power gurdy troll,3608.0146
2015,NSEO,B06B,Longline,449691.2854
2015,NSEO,B61B,Longline,14320.4134
2015,NSEO,C61B,Longline,
2015,NSEO,S15B,Power gurdy troll,62.72
2015,SSEI,9999,Longline,89482.6675
2015,SSEI,B06B,Longline,830951.6334
2015,SSEI,B61B,Longline,6742.0799
2015,SSEI,S05B,Hand troll,188.16
2015,SSEI,S15B,Power gurdy troll,4034.7467
2015,SSEO,B06B,Longline,375308.4614
2015,SSEO,B61B,Longline,7350.392
2015,SSEO,M6AB,Longline,
2015,SSEO,S15B,Power gurdy troll,1466.472
2016,CSEO,B06B,Longline,715102.2272
2016,CSEO,B61B,Longline,64272.1066
2016,CSEO,C06B,Longline,20
2016,CSEO,C61B,Longline,43
2016,CSEO,S15B,Power gurdy troll,3152.9866
2016,EYKT,B06B,Longline,1073167.489
2016,EYKT,B61B,Longline,185527.2232
2016,EYKT,C61B,Longline,0.9
2016,EYKT,S15B,Power gurdy troll,160.5894
2016,NSEI,B05B,Hand troll,108.192
2016,NSEI,B06B,Longline,2517081.383
2016,NSEI,B61B,Longline,52732.7067
2016,NSEI,C61A,Longline,137
2016,NSEI,S05B,Hand troll,41.8134
2016,NSEI,S15B,Power gurdy troll,3485.3385
2016,NSEO,B06B,Longline,421635.0822
2016,NSEO,B61B,Longline,27847.1441
2016,NSEO,C61B,Longline,0.9
2016,NSEO,S15B,Power gurdy troll,1368.7334
2016,SSEI,9999,Longline,106322.6669
2016,SSEI,B05B,Hand troll,296.352
2016,SSEI,B06B,Longline,1019430.031
2016,SSEI,B26B,Mechanical jigs,395.136
2016,SSEI,B61B,Longline,5293.3067
2016,SSEI,S15B,Power gurdy troll,2117.9653
2016,SSEO,B06B,Longline,372798.1317
2016,SSEO,B61B,Longline,941.4613
2016,SSEO,S15B,Power gurdy troll,1944.96
2017,CSEO,B06B,Longline,899861.039
2017,CSEO,B09B,Pot,138.768
2017,CSEO,B25B,Dinglebar troll,30.576
2017,CSEO,B61B,Longline,62543.208
2017,CSEO,C61B,Longline,219.25
2017,CSEO,S05B,Hand troll,56.448
2017,CSEO,S15B,Power gurdy troll,3466.32
2017,EYKT,B06B,Longline,1250587.381
2017,EYKT,B09B,Pot,1342.992
2017,EYKT,B61B,Longline,222419.8623
2017,EYKT,B91B,Pot,74.088
2017,EYKT,C06B,Longline,3457.44
2017,EYKT,C61B,Longline,29.7
2017,EYKT,I25B,Dinglebar troll,264.6
2017,EYKT,S15B,Power gurdy troll,48.216
2017,NSEI,B06B,Longline,2613939.833
2017,NSEI,B61B,Longline,49225.008
2017,NSEI,S15B,Power gurdy troll,2900.3688
2017,NSEO,B06B,Longline,435935.6782
2017,NSEO,B09B,Pot,1882.632
2017,NSEO,B61B,Longline,35906.808
2017,NSEO,B91B,Pot,508.032
2017,NSEO,C06B,Longline,2107.392
2017,NSEO,C61B,Longline,38
2017,NSEO,S05B,Hand troll,92.904
2017,NSEO,S15B,Power gurdy troll,3143.448
2017,SSEI,9998,Longline,492
2017,SSEI,9999,Longline,86261.3331
2017,SSEI,B06B,Longline,959749.3362
2017,SSEI,B26B,Mechanical jigs,385.728
2017,SSEI,B61B,Longline,5455.4639
2017,SSEI,S05B,Hand troll,149.352
2017,SSEI,S15B,Power gurdy troll,3111.696
2017,SSEO,B06B,Longline,447499.0729
2017,SSEO,B09B,Pot,90.552
2017,SSEO,B61B,Longline,4826.304
2017,SSEO,C61B,Longline,2.5
2017,SSEO,S15B,Power gurdy troll,39.984
2018,CSEO,B06B,Longline,741221.3982
2018,CSEO,B09B,Pot,135.24
2018,CSEO,B61B,Longline,21369.096
2018,CSEO,C61B,Longline,6506
2018,CSEO,S05B,Hand troll,76.44
2018,CSEO,S15B,Power gurdy troll,3076.416
2018,EYKT,B06B,Longline,1133918.294
2018,EYKT,B09B,Pot,1402.968
2018,EYKT,B25B,Dinglebar troll,897.288
2018,EYKT,B61B,Longline,187743.665
2018,EYKT,B91B,Pot,951.384
2018,EYKT,C61B,Longline,494
2018,EYKT,S15B,Power gurdy troll,1349.46
2018,NSEI,B06B,Longline,2270859.468
2018,NSEI,B61B,Longline,56550.312
2018,NSEI,S15B,Power gurdy troll,718.8
2018,NSEO,B06B,Longline,342261.137
2018,NSEO,B09B,Pot,36.456
2018,NSEO,B61B,Longline,17998.7976
2018,NSEO,S15B,Power gurdy troll,2269.092
2018,SSEI,9999,Longline,41511.2293
2018,SSEI,B06B,Longline,770599.14
2018,SSEI,B26B,Mechanical jigs,358.68
2018,SSEI,B61B,Longline,3816.12
2018,SSEI,S15B,Power gurdy troll,1067.136
2018,SSEO,B06B,Longline,408143.6334
2018,SSEO,B09B,Pot,1210.104
2018,SSEO,B61B,Longline,15202.152
2018,SSEO,C61B,Longline,7757
2018,SSEO,S15B,Power gurdy troll,1653.456
2019,CSEO,B06B,Longline,676510.6249
2019,CSEO,B09B,Pot,597.408
2019,CSEO,B61B,Longline,4798.08
2019,CSEO,C09B,Pot,10
2019,CSEO,C61B,Longline,3146
2019,CSEO,I05B,Hand troll,71.736
2019,CSEO,I25B,Dinglebar troll,83.496
2019,CSEO,S15B,Power gurdy troll,3261.048
2019,EYKT,B06B,Longline,1238898.734
2019,EYKT,B09B,Pot,444.528
2019,EYKT,B61B,Longline,196685.8448
2019,EYKT,C09B,Pot,14
2019,EYKT,C61B,Longline,790
2019,EYKT,I25B,Dinglebar troll,480.984
2019,EYKT,S15B,Power gurdy troll,2845.92
2019,NSEI,B06B,Longline,2297051.817
2019,NSEI,B61B,Longline,59591.988
2019,NSEI,S15B,Power gurdy troll,1263.864
2019,NSEO,B06B,Longline,453372.4006
2019,NSEO,B09B,Pot,558.6
2019,NSEO,B61B,Longline,10115.952
2019,NSEO,C09B,Pot,55
2019,NSEO,C61B,Longline,13
2019,NSEO,S15B,Power gurdy troll,1522.92
2019,SSEI,9999,Longline,36776.448
2019,SSEI,B06B,Longline,787718.2675
2019,SSEI,B61B,Longline,5149.704
2019,SSEI,S15B,Power gurdy troll,800.424
2019,SSEO,B06B,Longline,386651.0965
2019,SSEO,B09B,Pot,69.384
2019,SSEO,B61B,Longline,11498.34
2019,SSEO,C61B,Longline,4343
2019,SSEO,I25B,Dinglebar troll,204.624
2019,SSEO,S15B,Power gurdy troll,949.032
2020,CSEO,B06B,Longline,631205.398
2020,CSEO,B09B,Pot,338.688
2020,CSEO,B61B,Longline,18182.136
2020,CSEO,B91B,Pot,736.176
2020,CSEO,I25B,Dinglebar troll,1094.856
2020,CSEO,S15B,Power gurdy troll,5310.816
2020,EYKT,B06B,Longline,1060291.649
2020,EYKT,B09B,Pot,12.936
2020,EYKT,B61B,Longline,165962.8824
2020,EYKT,B91B,Pot,290.472
2020,EYKT,I25B,Dinglebar troll,1128.96
2020,EYKT,S15B,Power gurdy troll,2387.28
2020,NSEI,B06B,Longline,2271022.153
2020,NSEI,B61B,Longline,53684.952
2020,NSEI,S15B,Power gurdy troll,1320.648
2020,NSEO,B06B,Longline,488187.2402
2020,NSEO,B09B,Pot,2129.736
2020,NSEO,B61B,Longline,2745.96
2020,NSEO,B91B,Pot,7.056
2020,NSEO,C61B,Longline,
2020,NSEO,S15B,Power gurdy troll,4437.048
2020,SSEI,9999,Longline,32158.896
2020,SSEI,B05B,Hand troll,1103.088
2020,SSEI,B06B,Longline,600850.4557
2020,SSEI,B25B,Dinglebar troll,4077.192
2020,SSEI,S05B,Hand troll,78.792
2020,SSEI,S15B,Power gurdy troll,2122.464
2020,SSEO,B06B,Longline,357816.9838
2020,SSEO,B09B,Pot,227.016
2020,SSEO,B25B,Dinglebar troll,8104.992
2020,SSEO,B61B,Longline,19098.24
2020,SSEO,I25B,Dinglebar troll,5401.2
2020,SSEO,S15B,Power gurdy troll,1120.296
2021,CSEO,B06B,Longline,599273.9843
2021,CSEO,B09B,Pot,1760.472
2021,CSEO,B61B,Longline,25899.048
2021,CSEO,B91B,Pot,285.768
2021,CSEO,C50B,Pot,
2021,CSEO,C61B,Longline,8870
2021,CSEO,C91B,Pot,
2021,CSEO,I25B,Dinglebar troll,296.352
2021,CSEO,S15B,Power gurdy troll,3048.1584
2021,EYKT,B06B,Longline,1592173.248
2021,EYKT,B09B,Pot,2087.4
2021,EYKT,B61B,Longline,209043.3864
2021,EYKT,B91B,Pot,186.984
2021,EYKT,C50B,Pot,4.9
2021,EYKT,C61B,Longline,1849
2021,EYKT,I25B,Dinglebar troll,493.92
2021,EYKT,S15B,Power gurdy troll,1868.424
2021,NSEI,B05B,Hand troll,4379.424
2021,NSEI,B06B,Longline,2470705.712
2021,NSEI,B61B,Longline,56239.3776
2021,NSEI,S05B,Hand troll,199.92
2021,NSEI,S15B,Power gurdy troll,1325.976
2021,NSEO,B06B,Longline,493936.0661
2021,NSEO,B09B,Pot,188.16
2021,NSEO,B61B,Longline,778.512
2021,NSEO,B91B,Pot,82.32
2021,NSEO,C50B,Pot,2.1
2021,NSEO,C61B,Longline,3030
2021,NSEO,S05B,Hand troll,16.464
2021,NSEO,S15B,Power gurdy troll,3656.8896
2021,SSEI,9999,Longline,36521.856
2021,SSEI,B05B,Hand troll,562.128
2021,SSEI,B06B,Longline,615710.8835
2021,SSEI,B25B,Dinglebar troll,11507.712
2021,SSEI,B61B,Longline,6016.8864
2021,SSEI,S15B,Power gurdy troll,5374.068
2021,SSEO,B06B,Longline,294823.8817
2021,SSEO,B09B,Pot,760.872
2021,SSEO,B25B,Dinglebar troll,10593.936
2021,SSEO,B61B,Longline,4193.616
2021,SSEO,B91B,Pot,136.416
2021,SSEO,C50B,Longline,
2021,SSEO,C61B,Longline,4762
2021,SSEO,I25B,Dinglebar troll,143.016
2021,SSEO,S15B,Power gurdy troll,2790.684
2022,CSEO,B06B,Longline,551698.6288
2022,CSEO,B09B,Pot,2146.2
2022,CSEO,B25B,Dinglebar troll,4544.064
2022,CSEO,B61B,Longline,36318.1023
2022,CSEO,B91B,Pot,125.832
2022,CSEO,C50B,Longline,
2022,CSEO,C50B,Pot,11
2022,CSEO,C51B,Pot,105
2022,CSEO,C61B,Longline,38877
2022,CSEO,S15B,Power gurdy troll,4655.784
2022,EYKT,B06B,Longline,1796859.358
2022,EYKT,B09B,Pot,2820.9418
2022,EYKT,B61B,Longline,350793.678
2022,EYKT,B91B,Pot,455.112
2022,EYKT,C50B,Pot,9.408
2022,EYKT,I25B,Dinglebar troll,813.792
2022,EYKT,S15B,Power gurdy troll,3429.216
2022,NSEI,B05B,Hand troll,6149.304
2022,NSEI,B06B,Longline,2422128.758
2022,NSEI,B09B,Pot,104.352
2022,NSEI,B61B,Longline,17734.2
2022,NSEI,S15B,Power gurdy troll,2679.672
2022,NSEO,B06B,Longline,333826.1276
2022,NSEO,B09B,Pot,1057.5062
2022,NSEO,B61B,Longline,44331.0372
2022,NSEO,B91B,Pot,1110.144
2022,NSEO,S05B,Hand troll,12.936
2022,NSEO,S15B,Power gurdy troll,4656.96
2022,SSEI,9999,Longline,41705.664
2022,SSEI,B06B,Longline,516793.3341
2022,SSEI,B25B,Dinglebar troll,12484.416
2022,SSEI,S05B,Hand troll,271.656
2022,SSEI,S15B,Power gurdy troll,6369.384
2022,SSEO,B06B,Longline,450962.3745
2022,SSEO,B09B,Pot,628.608
2022,SSEO,B25B,Dinglebar troll,3284.712
2022,SSEO,B61B,Longline,4534.4208
2022,SSEO,C50B,Pot,
2022,SSEO,C51B,Longline,350
2022,SSEO,C61B,Longline,12412
2022,SSEO,S15B,Power gurdy troll,4106.616
2023,CSEO,B06B,Longline,553865.6544
2023,CSEO,B09B,Pot,2420.832
2023,CSEO,B25B,Dinglebar troll,3785.544
2023,CSEO,B61B,Longline,36424.3656
2023,CSEO,C50B,Pot,130
2023,CSEO,S15B,Power gurdy troll,2895.312
2023,EYKT,B06B,Longline,1428179.114
2023,EYKT,B09B,Pot,1241.7972
2023,EYKT,B61B,Longline,206342.9916
2023,EYKT,B91B,Pot,354.648
2023,EYKT,C50B,Longline,
2023,EYKT,C50B,Pot,112.896
2023,EYKT,C51B,Longline,
2023,EYKT,C51B,Pot,
2023,EYKT,I25B,Dinglebar troll,205.8
2023,EYKT,S15B,Power gurdy troll,2221.464
2023,NSEI,B05B,Hand troll,5778.864
2023,NSEI,B06B,Longline,2229037.742
2023,NSEI,B09B,Pot,181.104
2023,NSEI,B25B,Dinglebar troll,2760.072
2023,NSEI,B61B,Longline,21033.936
2023,NSEI,S15B,Power gurdy troll,291.648
2023,NSEO,B06B,Longline,260706.7358
2023,NSEO,B09B,Pot,1615.8828
2023,NSEO,B61B,Longline,17514.168
2023,NSEO,B91B,Pot,1480.584
2023,NSEO,C50B,Longline,
2023,NSEO,C50B,Pot,470.4
2023,NSEO,C51B,Pot,
2023,NSEO,S15B,Power gurdy troll,2455.488
2023,SSEI,9999,Longline,50850.24
2023,SSEI,B06B,Longline,667766.4504
2023,SSEI,B25B,Dinglebar troll,4705.176
2023,SSEI,S05B,Hand troll,136.416
2023,SSEI,S15B,Power gurdy troll,1852.2
2023,SSEO,B06B,Longline,290521.238
2023,SSEO,B09B,Pot,1091.952
2023,SSEO,B25B,Dinglebar troll,5495.448
2023,SSEO,B61B,Longline,5069.6184
2023,SSEO,C51B,Pot,
2023,SSEO,C91B,Pot,26
2023,SSEO,I25B,Dinglebar troll,177.576
2023,SSEO,S15B,Power gurdy troll,2849.568
2024,CSEO,B06B,Longline,182012.6952
2024,CSEO,B09B,Pot,1858.08
2024,CSEO,B61B,Longline,19127.64
2024,CSEO,C61B,Longline,
2024,CSEO,S15B,Power gurdy troll,2312.016
2024,EYKT,B06B,Longline,330008.34
2024,EYKT,B61B,Longline,81202.776
2024,EYKT,C51B,Pot,
2024,EYKT,C61B,Longline,
2024,EYKT,I25B,Dinglebar troll,109.368
2024,EYKT,S15B,Power gurdy troll,732.648
2024,NSEI,B06B,Longline,921822.8314
2024,NSEI,S15B,Power gurdy troll,1330.056
