year,Source,Sex,age,n,proportion,Age
2019,LL fishery atyp,Female,12,0,0,12
2020,LL fishery atyp,Female,12,0,0,12
2021,LL fishery atyp,Female,12,0,0,12
2022,LL fishery atyp,Female,12,0,0,12
2000,LL fishery atyp,Female,12,0,0,12
2002,LL fishery atyp,Female,12,0,0,12
1984,LL fishery atyp,Female,12,0,0,12
1987,LL fishery atyp,Female,12,0,0,12
1988,LL fishery atyp,Female,12,0,0,12
1989,LL fishery atyp,Female,12,0,0,12
1992,LL fishery atyp,Female,12,0,0,12
1993,LL fishery atyp,Female,12,0,0,12
1994,LL fishery atyp,Female,12,0,0,12
1995,LL fishery atyp,Female,12,0,0,12
1996,LL fishery atyp,Female,12,0,0,12
1997,LL fishery atyp,Female,12,0,0,12
1998,LL fishery atyp,Female,12,0,0,12
1999,LL fishery atyp,Female,12,0,0,12
2001,LL fishery atyp,Female,12,0,0,12
2003,LL fishery atyp,Female,12,0,0,12
2004,LL fishery atyp,Female,12,0,0,12
2005,LL fishery atyp,Female,12,0,0,12
2013,LL fishery atyp,Female,12,0,0,12
1985,LL fishery atyp,Female,12,0,0,12
2008,Hal LL fishery,Male,12,0,0,12
2009,Hal LL fishery,Male,12,0,0,12
2010,Hal LL fishery,Male,12,0,0,12
2011,Hal LL fishery,Male,12,1,0.00157,12
2012,Hal LL fishery,Male,12,0,0,12
2014,Hal LL fishery,Male,12,0,0,12
2015,Hal LL fishery,Male,12,0,0,12
2016,Hal LL fishery,Male,12,0,0,12
2017,Hal LL fishery,Male,12,0,0,12
2018,Hal LL fishery,Male,12,0,0,12
2019,Hal LL fishery,Male,12,0,0,12
2020,Hal LL fishery,Male,12,0,0,12
2021,Hal LL fishery,Male,12,0,0,12
2022,Hal LL fishery,Male,12,0,0,12
2000,Hal LL fishery,Male,12,0,0,12
2002,Hal LL fishery,Male,12,0,0,12
1984,Hal LL fishery,Male,12,0,0,12
1987,Hal LL fishery,Male,12,0,0,12
1988,Hal LL fishery,Male,12,0,0,12
1989,Hal LL fishery,Male,12,0,0,12
1992,Hal LL fishery,Male,12,0,0,12
1993,Hal LL fishery,Male,12,0,0,12
1994,Hal LL fishery,Male,12,0,0,12
1995,Hal LL fishery,Male,12,0,0,12
1996,Hal LL fishery,Male,12,0,0,12
1997,Hal LL fishery,Male,12,0,0,12
1998,Hal LL fishery,Male,12,0,0,12
1999,Hal LL fishery,Male,12,0,0,12
2001,Hal LL fishery,Male,12,0,0,12
2003,Hal LL fishery,Male,12,0,0,12
2004,Hal LL fishery,Male,12,0,0,12
2005,Hal LL fishery,Male,12,0,0,12
2013,Hal LL fishery,Male,12,0,0,12
1985,Hal LL fishery,Male,12,0,0,12
2008,Jig,Male,12,0,0,12
2009,Jig,Male,12,0,0,12
2010,Jig,Male,12,0,0,12
2011,Jig,Male,12,0,0,12
2012,Jig,Male,12,0,0,12
2014,Jig,Male,12,0,0,12
2015,Jig,Male,12,0,0,12
2016,Jig,Male,12,0,0,12
2017,Jig,Male,12,0,0,12
2018,Jig,Male,12,0,0,12
2019,Jig,Male,12,0,0,12
2020,Jig,Male,12,0,0,12
2021,Jig,Male,12,0,0,12
2022,Jig,Male,12,0,0,12
2000,Jig,Male,12,0,0,12
2002,Jig,Male,12,0,0,12
1984,Jig,Male,12,0,0,12
1987,Jig,Male,12,0,0,12
1988,Jig,Male,12,0,0,12
1989,Jig,Male,12,0,0,12
1992,Jig,Male,12,0,0,12
1993,Jig,Male,12,0,0,12
1994,Jig,Male,12,0,0,12
1995,Jig,Male,12,0,0,12
1996,Jig,Male,12,0,0,12
1997,Jig,Male,12,0,0,12
1998,Jig,Male,12,0,0,12
1999,Jig,Male,12,0,0,12
2001,Jig,Male,12,0,0,12
2003,Jig,Male,12,0,0,12
2004,Jig,Male,12,0,0,12
2005,Jig,Male,12,0,0,12
2013,Jig,Male,12,0,0,12
1985,Jig,Male,12,0,0,12
2008,LL fishery,Male,12,1,0.0035,12
2009,LL fishery,Male,12,0,0,12
2010,LL fishery,Male,12,0,0,12
2011,LL fishery,Male,12,0,0,12
2012,LL fishery,Male,12,0,0,12
2014,LL fishery,Male,12,0,0,12
2015,LL fishery,Male,12,0,0,12
2016,LL fishery,Male,12,0,0,12
2017,LL fishery,Male,12,0,0,12
2018,LL fishery,Male,12,0,0,12
2019,LL fishery,Male,12,0,0,12
2020,LL fishery,Male,12,0,0,12
2021,LL fishery,Male,12,0,0,12
2022,LL fishery,Male,12,0,0,12
2000,LL fishery,Male,12,1,0.00238,12
2002,LL fishery,Male,12,0,0,12
1984,LL fishery,Male,12,0,0,12
1987,LL fishery,Male,12,1,0.14286,12
1988,LL fishery,Male,12,1,0.01111,12
1989,LL fishery,Male,12,0,0,12
1992,LL fishery,Male,12,1,0.01887,12
1993,LL fishery,Male,12,1,0.09091,12
1994,LL fishery,Male,12,0,0,12
1995,LL fishery,Male,12,1,0.00257,12
1996,LL fishery,Male,12,1,0.00189,12
1997,LL fishery,Male,12,0,0,12
1998,LL fishery,Male,12,0,0,12
1999,LL fishery,Male,12,0,0,12
2001,LL fishery,Male,12,0,0,12
2003,LL fishery,Male,12,0,0,12
2004,LL fishery,Male,12,1,0.00175,12
2005,LL fishery,Male,12,0,0,12
2013,LL fishery,Male,12,0,0,12
1985,LL fishery,Male,12,0,0,12
2008,LL fishery atyp,Male,12,0,0,12
2009,LL fishery atyp,Male,12,0,0,12
2010,LL fishery atyp,Male,12,0,0,12
2011,LL fishery atyp,Male,12,0,0,12
2012,LL fishery atyp,Male,12,0,0,12
2014,LL fishery atyp,Male,12,0,0,12
2015,LL fishery atyp,Male,12,0,0,12
2016,LL fishery atyp,Male,12,0,0,12
2017,LL fishery atyp,Male,12,0,0,12
2018,LL fishery atyp,Male,12,0,0,12
2019,LL fishery atyp,Male,12,0,0,12
2020,LL fishery atyp,Male,12,0,0,12
2021,LL fishery atyp,Male,12,0,0,12
2022,LL fishery atyp,Male,12,0,0,12
2000,LL fishery atyp,Male,12,0,0,12
2002,LL fishery atyp,Male,12,0,0,12
1984,LL fishery atyp,Male,12,0,0,12
1987,LL fishery atyp,Male,12,0,0,12
1988,LL fishery atyp,Male,12,0,0,12
1989,LL fishery atyp,Male,12,0,0,12
1992,LL fishery atyp,Male,12,0,0,12
1993,LL fishery atyp,Male,12,0,0,12
1994,LL fishery atyp,Male,12,0,0,12
1995,LL fishery atyp,Male,12,0,0,12
1996,LL fishery atyp,Male,12,0,0,12
1997,LL fishery atyp,Male,12,0,0,12
1998,LL fishery atyp,Male,12,0,0,12
1999,LL fishery atyp,Male,12,0,0,12
2001,LL fishery atyp,Male,12,0,0,12
2003,LL fishery atyp,Male,12,0,0,12
2004,LL fishery atyp,Male,12,0,0,12
2005,LL fishery atyp,Male,12,0,0,12
2013,LL fishery atyp,Male,12,0,0,12
1985,LL fishery atyp,Male,12,0,0,12
2008,Hal LL fishery,Sex combined,12,0,0,12
2009,Hal LL fishery,Sex combined,12,0,0,12
2010,Hal LL fishery,Sex combined,12,0,0,12
2011,Hal LL fishery,Sex combined,12,1,8.8e-4,12
2012,Hal LL fishery,Sex combined,12,0,0,12
2014,Hal LL fishery,Sex combined,12,0,0,12
2015,Hal LL fishery,Sex combined,12,0,0,12
2016,Hal LL fishery,Sex combined,12,0,0,12
2017,Hal LL fishery,Sex combined,12,0,0,12
2018,Hal LL fishery,Sex combined,12,0,0,12
2019,Hal LL fishery,Sex combined,12,0,0,12
2020,Hal LL fishery,Sex combined,12,0,0,12
2021,Hal LL fishery,Sex combined,12,0,0,12
2022,Hal LL fishery,Sex combined,12,0,0,12
2000,Hal LL fishery,Sex combined,12,0,0,12
2002,Hal LL fishery,Sex combined,12,0,0,12
1984,Hal LL fishery,Sex combined,12,0,0,12
1987,Hal LL fishery,Sex combined,12,0,0,12
1988,Hal LL fishery,Sex combined,12,0,0,12
1989,Hal LL fishery,Sex combined,12,0,0,12
1992,Hal LL fishery,Sex combined,12,0,0,12
1993,Hal LL fishery,Sex combined,12,0,0,12
1994,Hal LL fishery,Sex combined,12,0,0,12
1995,Hal LL fishery,Sex combined,12,0,0,12
1996,Hal LL fishery,Sex combined,12,0,0,12
1997,Hal LL fishery,Sex combined,12,0,0,12
1998,Hal LL fishery,Sex combined,12,0,0,12
1999,Hal LL fishery,Sex combined,12,0,0,12
2001,Hal LL fishery,Sex combined,12,0,0,12
2003,Hal LL fishery,Sex combined,12,0,0,12
2004,Hal LL fishery,Sex combined,12,0,0,12
2005,Hal LL fishery,Sex combined,12,0,0,12
2013,Hal LL fishery,Sex combined,12,0,0,12
1985,Hal LL fishery,Sex combined,12,0,0,12
2008,Jig,Sex combined,12,0,0,12
2009,Jig,Sex combined,12,0,0,12
2010,Jig,Sex combined,12,0,0,12
2011,Jig,Sex combined,12,0,0,12
2012,Jig,Sex combined,12,0,0,12
2014,Jig,Sex combined,12,0,0,12
2015,Jig,Sex combined,12,0,0,12
2016,Jig,Sex combined,12,0,0,12
2017,Jig,Sex combined,12,0,0,12
2018,Jig,Sex combined,12,0,0,12
2019,Jig,Sex combined,12,0,0,12
2020,Jig,Sex combined,12,0,0,12
2021,Jig,Sex combined,12,0,0,12
2022,Jig,Sex combined,12,0,0,12
2000,Jig,Sex combined,12,0,0,12
2002,Jig,Sex combined,12,0,0,12
1984,Jig,Sex combined,12,0,0,12
1987,Jig,Sex combined,12,0,0,12
1988,Jig,Sex combined,12,0,0,12
1989,Jig,Sex combined,12,0,0,12
1992,Jig,Sex combined,12,0,0,12
1993,Jig,Sex combined,12,0,0,12
1994,Jig,Sex combined,12,0,0,12
1995,Jig,Sex combined,12,0,0,12
1996,Jig,Sex combined,12,0,0,12
1997,Jig,Sex combined,12,0,0,12
1998,Jig,Sex combined,12,0,0,12
1999,Jig,Sex combined,12,0,0,12
2001,Jig,Sex combined,12,0,0,12
2003,Jig,Sex combined,12,0,0,12
2004,Jig,Sex combined,12,0,0,12
2005,Jig,Sex combined,12,0,0,12
2013,Jig,Sex combined,12,0,0,12
1985,Jig,Sex combined,12,0,0,12
2008,LL fishery,Sex combined,12,1,0.00159,12
2009,LL fishery,Sex combined,12,0,0,12
2010,LL fishery,Sex combined,12,0,0,12
2011,LL fishery,Sex combined,12,0,0,12
2012,LL fishery,Sex combined,12,0,0,12
2014,LL fishery,Sex combined,12,0,0,12
2015,LL fishery,Sex combined,12,0,0,12
2016,LL fishery,Sex combined,12,0,0,12
2017,LL fishery,Sex combined,12,0,0,12
2018,LL fishery,Sex combined,12,0,0,12
2019,LL fishery,Sex combined,12,0,0,12
2020,LL fishery,Sex combined,12,0,0,12
2021,LL fishery,Sex combined,12,0,0,12
2022,LL fishery,Sex combined,12,0,0,12
2000,LL fishery,Sex combined,12,1,0.00106,12
2002,LL fishery,Sex combined,12,0,0,12
1984,LL fishery,Sex combined,12,0,0,12
1987,LL fishery,Sex combined,12,1,0.03448,12
1988,LL fishery,Sex combined,12,3,0.01648,12
1989,LL fishery,Sex combined,12,0,0,12
1992,LL fishery,Sex combined,12,1,0.0087,12
1993,LL fishery,Sex combined,12,1,0.04,12
1994,LL fishery,Sex combined,12,0,0,12
1995,LL fishery,Sex combined,12,1,0.00125,12
1996,LL fishery,Sex combined,12,1,8.6e-4,12
1997,LL fishery,Sex combined,12,1,8.2e-4,12
1998,LL fishery,Sex combined,12,1,0.00138,12
1999,LL fishery,Sex combined,12,0,0,12
2001,LL fishery,Sex combined,12,0,0,12
2003,LL fishery,Sex combined,12,1,0.00169,12
2004,LL fishery,Sex combined,12,1,7.9e-4,12
2005,LL fishery,Sex combined,12,0,0,12
2013,LL fishery,Sex combined,12,0,0,12
1985,LL fishery,Sex combined,12,0,0,12
2008,LL fishery atyp,Sex combined,12,0,0,12
2009,LL fishery atyp,Sex combined,12,0,0,12
2010,LL fishery atyp,Sex combined,12,0,0,12
2011,LL fishery atyp,Sex combined,12,0,0,12
2012,LL fishery atyp,Sex combined,12,0,0,12
2014,LL fishery atyp,Sex combined,12,0,0,12
2015,LL fishery atyp,Sex combined,12,0,0,12
2016,LL fishery atyp,Sex combined,12,0,0,12
2017,LL fishery atyp,Sex combined,12,0,0,12
2018,LL fishery atyp,Sex combined,12,0,0,12
2019,LL fishery atyp,Sex combined,12,0,0,12
2020,LL fishery atyp,Sex combined,12,0,0,12
2021,LL fishery atyp,Sex combined,12,0,0,12
2022,LL fishery atyp,Sex combined,12,0,0,12
2000,LL fishery atyp,Sex combined,12,0,0,12
2002,LL fishery atyp,Sex combined,12,0,0,12
1984,LL fishery atyp,Sex combined,12,0,0,12
1987,LL fishery atyp,Sex combined,12,0,0,12
1988,LL fishery atyp,Sex combined,12,0,0,12
1989,LL fishery atyp,Sex combined,12,0,0,12
1992,LL fishery atyp,Sex combined,12,0,0,12
1993,LL fishery atyp,Sex combined,12,0,0,12
1994,LL fishery atyp,Sex combined,12,0,0,12
1995,LL fishery atyp,Sex combined,12,0,0,12
1996,LL fishery atyp,Sex combined,12,0,0,12
1997,LL fishery atyp,Sex combined,12,0,0,12
1998,LL fishery atyp,Sex combined,12,0,0,12
1999,LL fishery atyp,Sex combined,12,0,0,12
2001,LL fishery atyp,Sex combined,12,0,0,12
2003,LL fishery atyp,Sex combined,12,0,0,12
2004,LL fishery atyp,Sex combined,12,0,0,12
2005,LL fishery atyp,Sex combined,12,0,0,12
2013,LL fishery atyp,Sex combined,12,0,0,12
1985,LL fishery atyp,Sex combined,12,0,0,12
2008,Hal LL fishery,Female,13,1,0.00345,13
2009,Hal LL fishery,Female,13,0,0,13
2010,Hal LL fishery,Female,13,0,0,13
2011,Hal LL fishery,Female,13,1,0.00198,13
2012,Hal LL fishery,Female,13,0,0,13
2014,Hal LL fishery,Female,13,0,0,13
2015,Hal LL fishery,Female,13,0,0,13
2016,Hal LL fishery,Female,13,0,0,13
2017,Hal LL fishery,Female,13,1,0.00234,13
2018,Hal LL fishery,Female,13,0,0,13
2019,Hal LL fishery,Female,13,0,0,13
2020,Hal LL fishery,Female,13,0,0,13
2021,Hal LL fishery,Female,13,0,0,13
2022,Hal LL fishery,Female,13,0,0,13
2000,Hal LL fishery,Female,13,0,0,13
2002,Hal LL fishery,Female,13,0,0,13
1984,Hal LL fishery,Female,13,0,0,13
1987,Hal LL fishery,Female,13,0,0,13
1988,Hal LL fishery,Female,13,0,0,13
1989,Hal LL fishery,Female,13,0,0,13
1992,Hal LL fishery,Female,13,0,0,13
1993,Hal LL fishery,Female,13,0,0,13
1994,Hal LL fishery,Female,13,0,0,13
1995,Hal LL fishery,Female,13,0,0,13
1996,Hal LL fishery,Female,13,0,0,13
1997,Hal LL fishery,Female,13,0,0,13
1998,Hal LL fishery,Female,13,0,0,13
1999,Hal LL fishery,Female,13,0,0,13
2001,Hal LL fishery,Female,13,0,0,13
2003,Hal LL fishery,Female,13,0,0,13
2004,Hal LL fishery,Female,13,0,0,13
2005,Hal LL fishery,Female,13,0,0,13
2013,Hal LL fishery,Female,13,0,0,13
1985,Hal LL fishery,Female,13,0,0,13
2008,Jig,Female,13,0,0,13
2009,Jig,Female,13,0,0,13
2010,Jig,Female,13,0,0,13
2011,Jig,Female,13,0,0,13
2012,Jig,Female,13,0,0,13
2014,Jig,Female,13,0,0,13
2015,Jig,Female,13,0,0,13
2016,Jig,Female,13,0,0,13
2017,Jig,Female,13,0,0,13
2018,Jig,Female,13,0,0,13
2019,Jig,Female,13,0,0,13
2020,Jig,Female,13,0,0,13
2021,Jig,Female,13,0,0,13
2022,Jig,Female,13,0,0,13
2000,Jig,Female,13,0,0,13
2002,Jig,Female,13,0,0,13
1984,Jig,Female,13,0,0,13
1987,Jig,Female,13,0,0,13
1988,Jig,Female,13,0,0,13
1989,Jig,Female,13,0,0,13
1992,Jig,Female,13,0,0,13
1993,Jig,Female,13,0,0,13
1994,Jig,Female,13,0,0,13
1995,Jig,Female,13,0,0,13
1996,Jig,Female,13,0,0,13
1997,Jig,Female,13,0,0,13
1998,Jig,Female,13,0,0,13
1999,Jig,Female,13,0,0,13
2001,Jig,Female,13,0,0,13
2003,Jig,Female,13,0,0,13
2004,Jig,Female,13,0,0,13
2005,Jig,Female,13,0,0,13
2013,Jig,Female,13,0,0,13
1985,Jig,Female,13,0,0,13
2008,LL fishery,Female,13,0,0,13
2009,LL fishery,Female,13,0,0,13
2010,LL fishery,Female,13,0,0,13
2011,LL fishery,Female,13,0,0,13
2012,LL fishery,Female,13,0,0,13
2014,LL fishery,Female,13,0,0,13
2015,LL fishery,Female,13,0,0,13
2016,LL fishery,Female,13,1,0.00324,13
2017,LL fishery,Female,13,0,0,13
2018,LL fishery,Female,13,0,0,13
2019,LL fishery,Female,13,0,0,13
2020,LL fishery,Female,13,0,0,13
2021,LL fishery,Female,13,0,0,13
2022,LL fishery,Female,13,0,0,13
2000,LL fishery,Female,13,1,0.00192,13
2002,LL fishery,Female,13,0,0,13
1984,LL fishery,Female,13,0,0,13
1987,LL fishery,Female,13,0,0,13
1988,LL fishery,Female,13,0,0,13
1989,LL fishery,Female,13,0,0,13
1992,LL fishery,Female,13,0,0,13
1993,LL fishery,Female,13,0,0,13
1994,LL fishery,Female,13,0,0,13
1995,LL fishery,Female,13,0,0,13
1996,LL fishery,Female,13,1,0.00158,13
1997,LL fishery,Female,13,4,0.00612,13
1998,LL fishery,Female,13,1,0.00258,13
1999,LL fishery,Female,13,1,0.00167,13
2001,LL fishery,Female,13,0,0,13
2003,LL fishery,Female,13,0,0,13
2004,LL fishery,Female,13,0,0,13
2005,LL fishery,Female,13,0,0,13
2013,LL fishery,Female,13,0,0,13
1985,LL fishery,Female,13,0,0,13
2008,LL fishery atyp,Female,13,0,0,13
2009,LL fishery atyp,Female,13,0,0,13
2010,LL fishery atyp,Female,13,0,0,13
2011,LL fishery atyp,Female,13,0,0,13
2012,LL fishery atyp,Female,13,0,0,13
2014,LL fishery atyp,Female,13,0,0,13
2015,LL fishery atyp,Female,13,0,0,13
2016,LL fishery atyp,Female,13,0,0,13
2017,LL fishery atyp,Female,13,0,0,13
2018,LL fishery atyp,Female,13,0,0,13
2019,LL fishery atyp,Female,13,0,0,13
2020,LL fishery atyp,Female,13,0,0,13
2021,LL fishery atyp,Female,13,0,0,13
2022,LL fishery atyp,Female,13,0,0,13
2000,LL fishery atyp,Female,13,0,0,13
2002,LL fishery atyp,Female,13,0,0,13
1984,LL fishery atyp,Female,13,0,0,13
1987,LL fishery atyp,Female,13,0,0,13
1988,LL fishery atyp,Female,13,0,0,13
1989,LL fishery atyp,Female,13,0,0,13
1992,LL fishery atyp,Female,13,0,0,13
1993,LL fishery atyp,Female,13,0,0,13
1994,LL fishery atyp,Female,13,0,0,13
1995,LL fishery atyp,Female,13,0,0,13
1996,LL fishery atyp,Female,13,0,0,13
1997,LL fishery atyp,Female,13,0,0,13
1998,LL fishery atyp,Female,13,0,0,13
1999,LL fishery atyp,Female,13,0,0,13
2001,LL fishery atyp,Female,13,0,0,13
2003,LL fishery atyp,Female,13,0,0,13
2004,LL fishery atyp,Female,13,0,0,13
2005,LL fishery atyp,Female,13,0,0,13
2013,LL fishery atyp,Female,13,0,0,13
1985,LL fishery atyp,Female,13,0,0,13
2008,Hal LL fishery,Male,13,1,0.00457,13
2009,Hal LL fishery,Male,13,0,0,13
2010,Hal LL fishery,Male,13,0,0,13
2011,Hal LL fishery,Male,13,1,0.00157,13
2012,Hal LL fishery,Male,13,0,0,13
2014,Hal LL fishery,Male,13,0,0,13
2015,Hal LL fishery,Male,13,0,0,13
2016,Hal LL fishery,Male,13,0,0,13
2017,Hal LL fishery,Male,13,0,0,13
2018,Hal LL fishery,Male,13,0,0,13
2019,Hal LL fishery,Male,13,0,0,13
2020,Hal LL fishery,Male,13,0,0,13
2021,Hal LL fishery,Male,13,1,0.00292,13
2022,Hal LL fishery,Male,13,0,0,13
2000,Hal LL fishery,Male,13,0,0,13
2002,Hal LL fishery,Male,13,0,0,13
1984,Hal LL fishery,Male,13,0,0,13
1987,Hal LL fishery,Male,13,0,0,13
1988,Hal LL fishery,Male,13,0,0,13
1989,Hal LL fishery,Male,13,0,0,13
1992,Hal LL fishery,Male,13,0,0,13
1993,Hal LL fishery,Male,13,0,0,13
1994,Hal LL fishery,Male,13,0,0,13
1995,Hal LL fishery,Male,13,0,0,13
1996,Hal LL fishery,Male,13,0,0,13
1997,Hal LL fishery,Male,13,0,0,13
1998,Hal LL fishery,Male,13,0,0,13
1999,Hal LL fishery,Male,13,0,0,13
2001,Hal LL fishery,Male,13,0,0,13
2003,Hal LL fishery,Male,13,0,0,13
2004,Hal LL fishery,Male,13,0,0,13
2005,Hal LL fishery,Male,13,0,0,13
2013,Hal LL fishery,Male,13,0,0,13
1985,Hal LL fishery,Male,13,0,0,13
2008,Jig,Male,13,0,0,13
2009,Jig,Male,13,0,0,13
2010,Jig,Male,13,0,0,13
2011,Jig,Male,13,0,0,13
2012,Jig,Male,13,0,0,13
2014,Jig,Male,13,0,0,13
2015,Jig,Male,13,0,0,13
2016,Jig,Male,13,0,0,13
2017,Jig,Male,13,0,0,13
2018,Jig,Male,13,0,0,13
2019,Jig,Male,13,0,0,13
2020,Jig,Male,13,0,0,13
2021,Jig,Male,13,0,0,13
2022,Jig,Male,13,0,0,13
2000,Jig,Male,13,2,0.04878,13
2002,Jig,Male,13,1,0.07143,13
1984,Jig,Male,13,0,0,13
1987,Jig,Male,13,0,0,13
1988,Jig,Male,13,0,0,13
1989,Jig,Male,13,0,0,13
1992,Jig,Male,13,0,0,13
1993,Jig,Male,13,0,0,13
1994,Jig,Male,13,0,0,13
1995,Jig,Male,13,0,0,13
1996,Jig,Male,13,0,0,13
1997,Jig,Male,13,0,0,13
1998,Jig,Male,13,0,0,13
1999,Jig,Male,13,0,0,13
2001,Jig,Male,13,0,0,13
2003,Jig,Male,13,0,0,13
2004,Jig,Male,13,0,0,13
2005,Jig,Male,13,0,0,13
2013,Jig,Male,13,0,0,13
1985,Jig,Male,13,0,0,13
2008,LL fishery,Male,13,0,0,13
2009,LL fishery,Male,13,0,0,13
2010,LL fishery,Male,13,2,0.00913,13
2011,LL fishery,Male,13,0,0,13
2012,LL fishery,Male,13,0,0,13
2014,LL fishery,Male,13,0,0,13
2015,LL fishery,Male,13,0,0,13
2016,LL fishery,Male,13,0,0,13
2017,LL fishery,Male,13,1,0.00435,13
2018,LL fishery,Male,13,0,0,13
2019,LL fishery,Male,13,0,0,13
2020,LL fishery,Male,13,0,0,13
2021,LL fishery,Male,13,0,0,13
2022,LL fishery,Male,13,0,0,13
2000,LL fishery,Male,13,1,0.00238,13
2002,LL fishery,Male,13,1,0.00249,13
1984,LL fishery,Male,13,0,0,13
1987,LL fishery,Male,13,0,0,13
1988,LL fishery,Male,13,2,0.02222,13
1989,LL fishery,Male,13,1,0.06667,13
1992,LL fishery,Male,13,1,0.01887,13
1993,LL fishery,Male,13,0,0,13
1994,LL fishery,Male,13,0,0,13
1995,LL fishery,Male,13,0,0,13
1996,LL fishery,Male,13,1,0.00189,13
1997,LL fishery,Male,13,4,0.00707,13
1998,LL fishery,Male,13,0,0,13
1999,LL fishery,Male,13,0,0,13
2001,LL fishery,Male,13,0,0,13
2003,LL fishery,Male,13,0,0,13
2004,LL fishery,Male,13,1,0.00175,13
2005,LL fishery,Male,13,0,0,13
2013,LL fishery,Male,13,0,0,13
1985,LL fishery,Male,13,0,0,13
2008,LL fishery atyp,Male,13,0,0,13
2009,LL fishery atyp,Male,13,0,0,13
2010,LL fishery atyp,Male,13,0,0,13
2011,LL fishery atyp,Male,13,0,0,13
2012,LL fishery atyp,Male,13,0,0,13
2014,LL fishery atyp,Male,13,0,0,13
2015,LL fishery atyp,Male,13,0,0,13
2016,LL fishery atyp,Male,13,0,0,13
2017,LL fishery atyp,Male,13,0,0,13
2018,LL fishery atyp,Male,13,0,0,13
2019,LL fishery atyp,Male,13,0,0,13
2020,LL fishery atyp,Male,13,0,0,13
2021,LL fishery atyp,Male,13,0,0,13
2022,LL fishery atyp,Male,13,0,0,13
2000,LL fishery atyp,Male,13,0,0,13
2002,LL fishery atyp,Male,13,0,0,13
1984,LL fishery atyp,Male,13,0,0,13
1987,LL fishery atyp,Male,13,0,0,13
1988,LL fishery atyp,Male,13,0,0,13
1989,LL fishery atyp,Male,13,0,0,13
1992,LL fishery atyp,Male,13,0,0,13
1993,LL fishery atyp,Male,13,0,0,13
1994,LL fishery atyp,Male,13,0,0,13
1995,LL fishery atyp,Male,13,0,0,13
1996,LL fishery atyp,Male,13,0,0,13
1997,LL fishery atyp,Male,13,0,0,13
1998,LL fishery atyp,Male,13,0,0,13
1999,LL fishery atyp,Male,13,0,0,13
2001,LL fishery atyp,Male,13,0,0,13
2003,LL fishery atyp,Male,13,0,0,13
2004,LL fishery atyp,Male,13,0,0,13
2005,LL fishery atyp,Male,13,0,0,13
2013,LL fishery atyp,Male,13,0,0,13
1985,LL fishery atyp,Male,13,0,0,13
2008,Hal LL fishery,Sex combined,13,2,0.00393,13
2009,Hal LL fishery,Sex combined,13,0,0,13
2010,Hal LL fishery,Sex combined,13,0,0,13
2011,Hal LL fishery,Sex combined,13,2,0.00176,13
2012,Hal LL fishery,Sex combined,13,0,0,13
2014,Hal LL fishery,Sex combined,13,0,0,13
2015,Hal LL fishery,Sex combined,13,0,0,13
2016,Hal LL fishery,Sex combined,13,0,0,13
2017,Hal LL fishery,Sex combined,13,1,0.001,13
2018,Hal LL fishery,Sex combined,13,0,0,13
2019,Hal LL fishery,Sex combined,13,0,0,13
2020,Hal LL fishery,Sex combined,13,0,0,13
2021,Hal LL fishery,Sex combined,13,1,0.00171,13
2022,Hal LL fishery,Sex combined,13,0,0,13
2000,Hal LL fishery,Sex combined,13,0,0,13
2002,Hal LL fishery,Sex combined,13,0,0,13
1984,Hal LL fishery,Sex combined,13,0,0,13
1987,Hal LL fishery,Sex combined,13,0,0,13
1988,Hal LL fishery,Sex combined,13,0,0,13
1989,Hal LL fishery,Sex combined,13,0,0,13
1992,Hal LL fishery,Sex combined,13,0,0,13
1993,Hal LL fishery,Sex combined,13,0,0,13
1994,Hal LL fishery,Sex combined,13,0,0,13
1995,Hal LL fishery,Sex combined,13,0,0,13
1996,Hal LL fishery,Sex combined,13,0,0,13
1997,Hal LL fishery,Sex combined,13,0,0,13
1998,Hal LL fishery,Sex combined,13,0,0,13
1999,Hal LL fishery,Sex combined,13,0,0,13
2001,Hal LL fishery,Sex combined,13,0,0,13
2003,Hal LL fishery,Sex combined,13,0,0,13
2004,Hal LL fishery,Sex combined,13,0,0,13
2005,Hal LL fishery,Sex combined,13,0,0,13
2013,Hal LL fishery,Sex combined,13,0,0,13
1985,Hal LL fishery,Sex combined,13,0,0,13
2008,Jig,Sex combined,13,0,0,13
2009,Jig,Sex combined,13,0,0,13
2010,Jig,Sex combined,13,0,0,13
2011,Jig,Sex combined,13,0,0,13
2012,Jig,Sex combined,13,0,0,13
2014,Jig,Sex combined,13,0,0,13
2015,Jig,Sex combined,13,0,0,13
2016,Jig,Sex combined,13,0,0,13
2017,Jig,Sex combined,13,0,0,13
2018,Jig,Sex combined,13,0,0,13
2019,Jig,Sex combined,13,0,0,13
2020,Jig,Sex combined,13,0,0,13
2021,Jig,Sex combined,13,0,0,13
2022,Jig,Sex combined,13,0,0,13
2000,Jig,Sex combined,13,2,0.025,13
2002,Jig,Sex combined,13,1,0.03448,13
1984,Jig,Sex combined,13,0,0,13
1987,Jig,Sex combined,13,0,0,13
1988,Jig,Sex combined,13,0,0,13
1989,Jig,Sex combined,13,0,0,13
1992,Jig,Sex combined,13,0,0,13
1993,Jig,Sex combined,13,0,0,13
1994,Jig,Sex combined,13,0,0,13
1995,Jig,Sex combined,13,0,0,13
1996,Jig,Sex combined,13,0,0,13
1997,Jig,Sex combined,13,0,0,13
